domain,value_head,stage,epoch,mean,min,max,n
fo_counters,on,stage1,65,18.333333333333332,10.0,25.0,9
fo_counters,on,stage1,66,15.0,15.0,15.0,1
fo_counters,on,stage1,68,30.0,30.0,30.0,1
fo_counters,on,stage1,70,20.0,15.0,25.0,9
fo_counters,on,stage1,75,19.375,15.0,25.0,8
fo_counters,on,stage1,80,18.125,15.0,25.0,8
fo_counters,on,stage1,85,15.714285714285714,5.0,20.0,7
fo_counters,on,stage1,90,18.571428571428573,5.0,30.0,7
fo_counters,on,stage1,92,25.0,25.0,25.0,1
fo_counters,on,stage1,95,22.5,10.0,30.0,6
fo_counters,on,stage1,100,15.833333333333334,5.0,20.0,6
fo_counters,on,stage1,105,17.0,5.0,20.0,5
fo_counters,on,stage1,106,20.0,20.0,20.0,1
fo_counters,on,stage1,110,20.0,15.0,25.0,4
fo_counters,on,stage1,115,18.75,10.0,25.0,4
fo_counters,on,stage1,120,22.5,20.0,25.0,2
fo_counters,on,stage1,125,17.5,15.0,20.0,2
fo_counters,on,stage1,130,20.0,20.0,20.0,2
fo_counters,on,stage1,135,25.0,25.0,25.0,2
fo_counters,on,stage1,140,20.0,20.0,20.0,2
fo_counters,on,stage1,145,20.0,20.0,20.0,1
fo_counters,on,stage1,150,20.0,20.0,20.0,1
fo_counters,on,stage1,155,20.0,20.0,20.0,1
fo_counters,on,stage2,0,29.09090909090909,15.0,40.0,22
fo_counters,on,stage2,5,21.136363636363637,10.0,35.0,22
fo_counters,on,stage2,10,18.40909090909091,10.0,35.0,22
fo_counters,on,stage2,15,16.818181818181817,5.0,30.0,22
fo_counters,on,stage2,20,17.954545454545453,5.0,30.0,22
fo_counters,on,stage2,25,16.136363636363637,10.0,25.0,22
fo_counters,on,stage2,30,16.59090909090909,5.0,30.0,22
fo_counters,on,stage2,35,15.681818181818182,10.0,30.0,22
fo_counters,on,stage2,40,16.59090909090909,10.0,30.0,22
fo_counters,on,stage2,45,16.818181818181817,10.0,30.0,22
fo_counters,on,stage2,50,16.363636363636363,5.0,25.0,22
fo_counters,on,stage2,55,16.59090909090909,10.0,30.0,22
fo_counters,on,stage2,60,16.363636363636363,10.0,25.0,22
fo_counters,on,stage2,65,16.59090909090909,5.0,30.0,22
fo_counters,on,stage2,70,15.681818181818182,10.0,30.0,22
fo_counters,on,stage2,75,16.136363636363637,10.0,30.0,22
fo_counters,on,stage2,80,16.818181818181817,10.0,25.0,22
fo_counters,on,stage2,85,17.045454545454547,10.0,30.0,22
fo_counters,on,stage2,90,15.0,5.0,25.0,22
fo_counters,on,stage2,95,16.818181818181817,5.0,30.0,22
fo_counters,on,stage2,99,17.045454545454547,10.0,30.0,22
rover,off,stage1,5,11.5,0.0,20.0,10
rover,off,stage1,10,17.5,10.0,20.0,10
rover,off,stage1,15,16.5,10.0,20.0,10
rover,off,stage1,20,18.5,15.0,20.0,10
rover,off,stage1,21,20.0,20.0,20.0,1
rover,off,stage1,25,18.5,15.0,20.0,10
rover,off,stage1,30,18.5,15.0,20.0,10
rover,off,stage1,35,19.5,15.0,20.0,10
rover,off,stage1,40,19.5,15.0,20.0,10
rover,off,stage1,44,20.0,20.0,20.0,1
rover,off,stage1,45,19.5,15.0,20.0,10
rover,off,stage1,48,20.0,20.0,20.0,1
rover,off,stage1,50,20.0,20.0,20.0,10
rover,off,stage1,53,20.0,20.0,20.0,1
rover,off,stage1,55,20.0,20.0,20.0,10
rover,off,stage1,60,20.0,20.0,20.0,10
rover,off,stage1,64,20.0,20.0,20.0,1
rover,off,stage1,65,19.5,15.0,20.0,10
rover,off,stage1,70,20.0,20.0,20.0,10
rover,off,stage1,75,19.375,15.0,20.0,8
rover,off,stage1,80,20.0,20.0,20.0,7
rover,off,stage1,85,20.0,20.0,20.0,7
rover,off,stage1,90,20.0,20.0,20.0,7
rover,off,stage1,95,21.0,20.0,25.0,5
rover,off,stage1,100,21.25,20.0,25.0,4
rover,off,stage1,105,20.0,20.0,20.0,3
rover,off,stage1,110,18.333333333333332,15.0,20.0,3
rover,off,stage1,115,22.5,20.0,25.0,2
rover,off,stage1,120,22.5,20.0,25.0,2
rover,off,stage1,124,20.0,20.0,20.0,1
rover,off,stage1,125,22.5,20.0,25.0,2
rover,off,stage1,130,20.0,20.0,20.0,2
rover,off,stage1,135,20.0,20.0,20.0,2
rover,off,stage1,140,20.0,20.0,20.0,2
rover,off,stage1,145,20.0,20.0,20.0,2
rover,off,stage1,150,22.5,20.0,25.0,2
