snapshot_time,experiment_id,job_id,state,reason,elapsed,time_limit,cpus,memory,array_tasks,job_name
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760325,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1972442430_K0_MPEXT6TA0_src20618735
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760324,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPEXT6TA0_src20618726
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760323,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1510771779_K0_MPEXT6TA0_src20618733
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760322,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1472491096_K0_MPEXT6TA0_src20618730
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760321,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1239739722_K0_MPEXT6TA0_src20618729
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760320,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1073581256_K0_MPEXT6TA0_src20618728
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760319,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s923500475_K0_MPEXT6TA0_src20618734
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760318,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s534933607_K0_MPEXT6TA0_src20618731
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760317,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2082152039_K0_MPEXT6TA0_src20618722
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760316,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPEXT6TA0_src20618717
