domain,value_head,seed,training_job_id,training_log,log_exists,policy_gradient_l2,weighted_anchor_gradient_l2,policy_anchor_gradient_cosine,decomposed_anchor_gradient_available,classification
rover,on,1073581256,20430399,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430399_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10T_src20401240_e0143.txt,true,false,false,false,false,decomposition_unavailable
rover,on,1239739722,20430400,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430400_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10T_src20401241_e0112.txt,true,false,false,false,false,decomposition_unavailable
rover,on,1472491096,20430401,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430401_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10T_src20401242_e0115.txt,true,false,false,false,false,decomposition_unavailable
rover,on,1510771779,20430404,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430404_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10T_src20401245_e0090.txt,true,false,false,false,false,decomposition_unavailable
rover,on,1963100312,20430397,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430397_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10T_src20401238_e0070.txt,true,false,false,false,false,decomposition_unavailable
rover,on,1972442430,20430406,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430406_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10T_src20401247_e0071.txt,true,false,false,false,false,decomposition_unavailable
rover,on,2011206605,20430398,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430398_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10T_src20401239_e0095.txt,true,false,false,false,false,decomposition_unavailable
rover,on,2082152039,20430403,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430403_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10T_src20401244_e0077.txt,true,false,false,false,false,decomposition_unavailable
rover,on,534933607,20430402,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430402_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10T_src20401243_e0017.txt,true,false,false,false,false,decomposition_unavailable
rover,on,923500475,20430405,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430405_Re-Tr_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10T_src20401246_e0004.txt,true,false,false,false,false,decomposition_unavailable
